Country,Energy_type,Year,Energy_consumption,Energy_production,GDP,Population,Energy_intensity_per_capita,Energy_intensity_by_GDP,CO2_emission,GDP per capita,Region
Australia,renewables_n_other,1980,0.133988864,0.137267075,373.5762,14723.55,202.7660334,7.991504358,0,25372.69884,Oceania
Australia,renewables_n_other,1981,0.14927951,0.149843793,389.0065,14957.07,203.909295,7.84019187,0,26008.20214,Oceania
Australia,renewables_n_other,1982,0.145706523,0.145948359,389.758,15210.15,212.4591873,8.291134775,0,25624.86235,Oceania
Australia,renewables_n_other,1983,0.130429593,0.130563946,387.2328,15416.3,201.5236309,8.022948345,0,25118.40065,Oceania
Australia,renewables_n_other,1984,0.128791941,0.129195,413.144,15605.43,201.8147098,7.623020851,0,26474.37462,Oceania
Australia,renewables_n_other,1985,0.145220687,0.145516263,433.966,15816.85,207.9709788,7.57996197,0,27436.94225,Oceania
Australia,renewables_n_other,1986,0.148477395,0.154308312,443.097,16048.6,208.0840442,7.536628755,0,27609.69804,Oceania
Australia,renewables_n_other,1987,0.139897468,0.144438597,465.203,16297.27,215.3824346,7.545406391,0,28544.84217,Oceania
Australia,renewables_n_other,1988,0.123745244,0.14567164,484.463,16568.15,217.3029027,7.431541908,0,29240.62131,Oceania
Australia,renewables_n_other,1989,0.13529352,0.157637952,506.911,16846,226.7767136,7.536393011,0,30090.88211,Oceania
Australia,renewables_n_other,1990,0.134455644,0.153491912,514.466,17092.82,224.9512396,7.47386814,0,30098.36879,Oceania
Australia,renewables_n_other,1991,0.147391875,0.171494788,509.335,17309.1,220.5029574,7.493511617,0,29425.85114,Oceania
Australia,renewables_n_other,1992,0.144718742,0.164173045,522.393,17497.62,222.6663776,7.458238648,0,29855.08886,Oceania
Australia,renewables_n_other,1993,0.160848197,0.176943676,542.955,17655.47,226.0353782,7.350076597,0,30752.79219,Oceania
Australia,renewables_n_other,1994,0.159909225,0.174123764,569.261,17827.45,227.716072,7.131345531,0,31931.71205,Oceania
Australia,renewables_n_other,1995,0.159163281,0.169828328,586.086,18029.93,231.9117361,7.134366574,0,32506.28261,Oceania
Australia,renewables_n_other,1996,0.161389643,0.1713855,609.71,18246.45,239.2484772,7.159855303,0,33415.26708,Oceania
Australia,renewables_n_other,1997,0.17377146,0.181107129,637.787,18442.8,243.0214929,7.027419482,0,34581.89646,Oceania
Australia,renewables_n_other,1998,0.166817118,0.170310294,667.44,18630.45,249.263295,6.957760031,0,35825.22161,Oceania
Australia,renewables_n_other,1999,0.179989344,0.181010426,696.46,18836.07,252.8064933,6.837263883,0,36974.80419,Oceania
Australia,renewables_n_other,2000,0.175868345,0.177721822,718.054,19057.72,251.7782696,6.682394031,0,37677.85443,Oceania
Australia,renewables_n_other,2001,0.181885645,0.186004333,737.18,19299.15,250.0787349,6.546985834,0,38197.5372,Oceania
Australia,renewables_n_other,2002,0.175628589,0.180184176,767.916,19521.48,254.7998238,6.47736167,0,39336.9765,Oceania
Australia,renewables_n_other,2003,0.18058361,0.187403625,791.081,19744.05,253.9674056,6.338598898,0,40066.80494,Oceania
Australia,renewables_n_other,2004,0.177790781,0.18549632,823.592,19960.65,259.5659065,6.290862722,0,41260.78059,Oceania
Australia,renewables_n_other,2005,0.194030441,0.200000248,848.26,20206.75,261.1744616,6.221544162,0,41979.04166,Oceania
Australia,renewables_n_other,2006,0.207370914,0.215484415,870.371,20495.62,260.8759763,6.143144564,0,42466.19522,Oceania
Australia,renewables_n_other,2007,0.19099131,0.209957591,908.353,20877.3,263.6497376,6.059642745,0,43509.12235,Oceania
Australia,renewables_n_other,2008,0.162285799,0.198222924,931.624,21303.9,258.4402301,5.909878683,0,43730.20902,Oceania
Australia,renewables_n_other,2009,0.171066027,0.187632854,949.45,21730.75,258.4409471,5.915125189,0,43691.54309,Oceania
Australia,renewables_n_other,2010,0.197372876,0.22091932,972.586,22065.65,256.0911807,5.810096343,0,44076.92499,Oceania
Australia,renewables_n_other,2011,0.235412353,0.265439468,1000.094,22387.15,256.2321454,5.735768313,0,44672.68053,Oceania
Australia,renewables_n_other,2012,0.228838139,0.262049088,1037.872,22780.32,254.7972341,5.592561056,0,45560.02725,Oceania
Australia,renewables_n_other,2013,0.286833798,0.322728405,1060.76,23168.3,250.4266324,5.469624936,0,45784.97343,Oceania
Australia,renewables_n_other,2014,0.322869124,0.35429912,1087.884,23514.83,244.554375,5.286091673,0,46263.7408,Oceania
Australia,renewables_n_other,2015,0.289596282,0.321443937,1113.001,23859.35,242.1599504,5.191171448,0,46648.42085,Oceania
Australia,renewables_n_other,2016,0.327769282,0.350122415,1143.082,24238.52,247.9240351,5.257113386,0,47159.72757,Oceania
Australia,renewables_n_other,2017,0.362715234,0.374850601,1170.254,24644.28,251.5879127,5.298168572,0,47485.82633,Oceania
Australia,renewables_n_other,2018,0.39546397,0.40993275,1202.747,25027.28,246.1798433,5.122616699,0,48057.43972,Oceania
Australia,renewables_n_other,2019,0.453750757,0.465408709,1226.586,25407.68,251.6753839,5.213240343,0,48276.19051,Oceania
