Country,Energy_type,Year,Energy_consumption,Energy_production,GDP,Population,Energy_intensity_per_capita,Energy_intensity_by_GDP,CO2_emission,GDP per capita,CO2 Emissions per capita,Region
Australia,all_energy_types,1981,3.049885599,4.142083016,389.0065,14957.07,203.909295,7.84019187,216.0070096,26008.20214,14.44179974,#N/A
Austria,all_energy_types,1981,1.086021611,0.470869747,212.2023,7572.555,143.4154801,5.117859753,55.26293027,28022.54985,7.297791864,Europe
Belgium,all_energy_types,1981,1.99587973,0.299836636,268.3881,9857.885,202.4653088,7.436543313,139.8782799,27225.72844,14.18948181,Europe
Canada,all_energy_types,1981,9.423931567,9.962026009,717.752,24819.9,379.6925679,13.12978796,422.5494443,28918.40821,17.02462316,Europe
Chile,all_energy_types,1981,0.421589012,0.286899948,84.993,11524.55,36.58181985,4.960279222,21.60861592,7374.951733,1.875007347,Europe
Colombia,all_energy_types,1981,0.693156107,0.669737766,,27496.6,25.20879335,0,35.77615779,0,1.301112057,Europe
Costa Rica,all_energy_types,1981,0.056883176,0.023634239,,2455.59,23.16476929,0,2.340974967,0,0.953324849,Europe
Czech Republic,all_energy_types,1981,,,,,,,,#DIV/0!,,Europe
Denmark,all_energy_types,1981,0.725952111,0.031519026,150.0078,5120.965,141.7608032,4.839429092,62.30811156,29292.87742,12.1672598,Europe
Estonia,all_energy_types,1981,,,,,,,,#DIV/0!,,Europe
Finland,all_energy_types,1981,0.941336413,0.284703464,117.8351,4803.01,195.9888514,7.988590947,55.74153674,24533.59456,11.60554251,Europe
France,all_energy_types,1981,8.282151782,2.688790252,1464.594,55625,148.8926163,5.65491309,472.3705918,26329.77978,8.492055583,Europe
Germany,all_energy_types,1981,,,,,,,,#DIV/0!,,Africa
"Germany, East",all_energy_types,1981,5.955089999,5.070846094,,,0,0,521.4169534,#DIV/0!,,Africa
"Germany, West",all_energy_types,1981,10.93787104,4.820919812,,,0,0,735.6348212,#DIV/0!,,Africa
Greece,all_energy_types,1981,0.730246244,0.195194818,215.8013,9736.48,75.00105214,3.383882508,50.85399833,22164.20103,5.223037312,Africa
Hungary,all_energy_types,1981,1.154786311,0.516513635,,10711.61,107.8069787,0,75.0636306,0,7.007688909,Africa
Iceland,all_energy_types,1981,0.056282063,0.033627309,,230.665,,,1.796433231,0,7.788061609,Africa
Ireland,all_energy_types,1981,0.313294797,0.060173479,64.3224,3458.05,90.59868902,4.87069507,20.61703596,18600.77211,5.962041024,Africa
Israel,all_energy_types,1981,0.360903568,0.083075,,3770.69,95.71287165,0,23.77696031,0,6.305731924,Africa
Italy,all_energy_types,1981,6.062204571,1.121641322,1525.335,56507.3,107.2817949,3.97434306,337.3866105,26993.59198,5.970673002,Africa
Japan,all_energy_types,1981,15.7902113,2.363746214,2754.923,118711.8,133.0129886,5.731634349,871.7885899,23206.81685,7.343739964,Africa
Latvia,all_energy_types,1981,,,,,,,,#DIV/0!,,Africa
Lithuania,all_energy_types,1981,,,,,,,,#DIV/0!,,Africa
Luxembourg,all_energy_types,1981,0.130022281,0.001337984,,365.319,355.9143675,0,12.54528236,0,34.34062384,Africa
Mexico,all_energy_types,1981,4.203000197,6.742066139,1068.837,69612.38,60.37719436,3.93231166,197.6849674,15354.12236,2.839796131,Africa
Netherlands,all_energy_types,1981,3.069217307,2.936567878,408.668,14256.85,215.2801851,7.51029517,171.12017,28664.67698,12.00266328,Africa
New Zealand,all_energy_types,1981,0.469354765,0.331997771,69.9377,3173.38,147.9037384,6.711040904,18.51850439,22038.86708,5.835577329,Africa
Norway,all_energy_types,1981,1.406517914,3.020249017,135.1256,4101.54,342.924344,10.40896702,31.74592966,32945.08892,7.740002454,Africa
Poland,all_energy_types,1981,4.380774512,3.733265728,,35939.52,121.8929611,0,398.6516864,0,11.09229301,Africa
Portugal,all_energy_types,1981,0.38049703,0.05849551,177.6304,9859.439,38.59215823,2.142071571,21.19394101,18016.27861,2.149609223,Africa
Slovakia,all_energy_types,1981,,,,,,,,#DIV/0!,,Asia
Slovenia,all_energy_types,1981,,,,,,,,#DIV/0!,,Asia
South Korea,all_energy_types,1981,1.969777549,0.566368595,218.7568,38673.48,50.93354798,9.004417459,138.9008355,5656.506733,3.591630117,Asia
Spain,all_energy_types,1981,3.227271976,1.01208681,745.068,37789.42,85.40146888,4.331513333,189.1223193,19716.31213,5.00463673,Asia
Sweden,all_energy_types,1981,2.046094337,0.988065009,225.0356,8321.135,245.8912561,9.092314004,83.07151559,27043.8588,9.983195272,Asia
Switzerland,all_energy_types,1981,1.054650602,0.515262907,299.5639,6372.905,165.489773,3.520619815,41.28841088,47005.8631,6.478742564,Asia
Turkey,all_energy_types,1981,0.94222253,0.41732241,436.2853,45114.12,20.88531328,2.159647665,62.13662464,9670.703984,1.377320995,Oceania
United Kingdom,all_energy_types,1981,8.556461542,9.013569166,1267.13,56343.68,151.8619576,6.752631176,612.6489238,22489.30137,10.87342758,Oceania
United States of America,all_energy_types,1981,76.05718694,66.90950804,7260.45,229416.2,331.5249182,10.47554724,4756.270103,31647.50353,20.7320586,Oceania
Australia,all_energy_types,1982,3.231536108,4.149179345,389.758,15210.15,212.4591873,8.291134775,217.8740164,25624.86235,14.32425166,Oceania
Austria,all_energy_types,1982,1.033423966,0.472787608,216.2571,7571.652,136.4859302,4.778682255,51.59746664,28561.41566,6.814558652,Europe
Belgium,all_energy_types,1982,1.866576717,0.335462088,269.9461,9856.732,189.3707486,6.914627466,123.4142649,27386.97775,12.52080963,Europe
Canada,all_energy_types,1982,9.0388544,9.959679976,694.875,25116.95,359.8707009,13.00788545,398.8565977,27665.58041,15.87997737,Europe
Chile,all_energy_types,1982,0.37645181,0.262572221,76.1943,11685.38,32.21562412,4.940682043,20.77729869,6520.481148,1.778059309,Europe
Colombia,all_energy_types,1982,0.738253969,0.753739996,,28101.8,26.27070041,0,36.66423347,0,1.304693417,Europe
Costa Rica,all_energy_types,1982,0.055498153,0.024692359,,2523.36,21.99375169,0,2.334578861,0,0.925186601,Europe
Czech Republic,all_energy_types,1982,,,,,,,,#DIV/0!,,Europe
Denmark,all_energy_types,1982,0.726403912,0.073011338,154.5313,5117.473,141.9458221,4.700691135,53.27066882,30196.7983,10.40956519,Europe
Estonia,all_energy_types,1982,,,,,,,,#DIV/0!,,Europe
Finland,all_energy_types,1982,0.917608833,0.299499482,121.4835,4830.625,189.9565446,7.553361842,43.4829782,25148.60913,9.001522204,Europe
France,all_energy_types,1982,8.01422541,2.656800825,1499.671,55944.8,143.252374,5.343989055,416.172803,26806.2626,7.438989914,Europe
