Country,Energy_type,Year,Energy_consumption,Energy_production,GDP,Population,Energy_intensity_per_capita,Energy_intensity_by_GDP,CO2_emission,GDP per capita,Region
Afghanistan,all_energy_types,2019,0.122748421,0.05521031,79.4546,38050.9,3.225900605,1.544887538,9.391163087,2088.113553,Asia
Albania,all_energy_types,2019,0.110748241,0.089082299,38.2684,2879.92,38.45531853,2.893986708,4.031301559,13288.008,Europe
Algeria,all_energy_types,2019,2.643502654,6.429790182,509.066,43030.4,61.43337395,5.192848578,145.9879691,11830.38038,Africa
American Samoa,all_energy_types,2019,0.004911509,0,,55.312,88.79644373,0,0.35542766,0,Oceania
Angola,all_energy_types,2019,0.372427781,3.510208401,193.826,31849.8,11.69325335,1.921454194,17.64457661,6085.626911,Africa
Antigua and Barbuda,all_energy_types,2019,0.010400006,0.00013356,2.12893,97.0566,107.1540328,4.885085982,0.7348894,21934.93281,Central America and Caribbean
Argentina,all_energy_types,2019,3.545507099,3.493367836,833.501,44832.7,79.0830599,4.253752664,191.3586583,18591.363,South America
Armenia,all_energy_types,2019,0.156814412,0.044903991,35.5628,2957.09,53.02997616,4.409506906,5.976457104,12026.2826,Europe
Aruba,all_energy_types,2019,0.018564765,0.001306324,3.20784,106.298,174.6482986,5.787310105,1.20493081,30177.80203,Central America and Caribbean
Australia,all_energy_types,2019,6.394487619,18.95493672,1226.586,25407.68,251.6753839,5.213240343,410.8651482,48276.19051,Oceania
Austria,all_energy_types,2019,1.522026035,0.567487499,467.708,8885.205,171.2989217,3.254222796,63.8440279,52638.96556,Europe
Azerbaijan,all_energy_types,2019,0.647236669,2.518580543,145.705,10041.2,64.45809952,4.442103352,33.28563789,14510.71585,Asia
Bahrain,all_energy_types,2019,0.813065541,1.115665102,70.4457,1483.76,547.9764521,11.54173414,39.0144425,47477.8266,Asia
Bangladesh,all_energy_types,2019,1.616632736,1.109107082,798.113,163021,9.91671463,2.02556873,90.78163083,4895.76803,Asia
Barbados,all_energy_types,2019,0.024030263,0.003049203,4.52673,286.99,83.73205705,5.308525813,1.702104465,15773.12798,Central America and Caribbean
Belarus,all_energy_types,2019,0.969133313,0.085391503,178.892,9449.62,102.5579137,5.417421197,56.5235977,18931.13162,Europe
Belgium,all_energy_types,2019,2.691127907,0.630353981,557.634,11497.32,234.0656699,4.825975295,132.2796246,48501.21594,Europe
Belize,all_energy_types,2019,0.012316176,0.007406759,2.78824,390.339,31.55251287,4.417186584,0.577712955,7143.12431,Central America and Caribbean
Benin,all_energy_types,2019,0.099979771,7.27E-05,38.0152,11807.2,8.467695257,2.629994619,7.736424191,3219.662579,Africa
Bermuda,all_energy_types,2019,0.011029603,0,6.64648,62.5574,176.3117297,1.659465371,0.797279806,106246.1036,Central America and Caribbean
Bhutan,all_energy_types,2019,0.07639004,0.082805151,8.10603,762.867,100.1354627,9.423853602,0.967306365,10625.74472,Asia
Bolivia,all_energy_types,2019,0.311932659,0.694279244,89.7455,11513,27.09395107,3.47574707,18.33556584,7795.144619,South America
Bosnia and Herzegovina,all_energy_types,2019,0.237304074,0.153088566,47.1135,3304.39,71.81478994,5.036859366,17.26693809,14257.85092,Europe
Botswana,all_energy_types,2019,0.078545264,0.047222723,36.97997,2302.775,34.10896162,2.123994803,6.188921367,16058.87245,Africa
Brazil,all_energy_types,2019,12.55742384,12.71324288,3041.299,211246.2,59.44449574,4.128967206,453.4432722,14396.94063,South America
British Virgin Islands,all_energy_types,2019,0.002406731,1.39E-05,1.44981,30.0137,80.18774866,1.660032026,0.216635316,48304.94074,Central America and Caribbean
Brunei,all_energy_types,2019,0.179836696,0.727502213,26.6516,433.149,415.1843736,6.747688554,10.22519768,61529.86617,Asia
Bulgaria,all_energy_types,2019,0.73322432,0.450356941,149.2549,6969.69,105.2018555,4.912564479,41.54275969,21414.85489,Europe
Burkina Faso,all_energy_types,2019,0.066044072,0.00191436,39.3968,20333.3,3.248074459,1.676381645,4.391342618,1937.550717,Africa
Burma,all_energy_types,2019,0.577164198,0.816996827,275.791,54067.4,10.67490204,2.092759366,32.96888022,5100.874094,Asia
Burundi,all_energy_types,2019,0.012540838,0.002081648,8.84175,11536.2,1.0870857,1.418366053,0.67983302,766.4352213,Africa
Cabo Verde,all_energy_types,2019,0.014591794,0.000792456,3.77316,549.825,26.53897949,3.86726097,1.001529634,6862.474424,Africa
Cambodia,all_energy_types,2019,0.224693486,0.037524127,69.1922,16482.4,13.63232821,3.247381734,11.89089595,4197.944474,Asia
Cameroon,all_energy_types,2019,0.160532741,0.297382198,88.9149,25885.9,6.201551475,1.805465016,7.245713401,3434.877675,Africa
Canada,all_energy_types,2019,14.97790518,23.51860043,1737.87,37601.23,398.3355114,8.618541766,613.089867,46218.43488,North America
Cayman Islands,all_energy_types,2019,0.011398565,0.000143933,3.77842,64.9202,175.5781014,3.016754479,0.667298,58200.99137,Central America and Caribbean
Central African Rep.,all_energy_types,2019,0.005317766,0.0013356,4.13773,4751.85,1.119093869,1.28518927,0.278282,870.7619138,Africa
Chad,all_energy_types,2019,0.02512333,0.291612936,24.9406,15956.2,1.574518363,1.007326604,1.7162899,1563.066394,Africa
Chile,all_energy_types,2019,1.560052674,0.432230613,439.69,18922.75,82.44323231,3.548074039,86.87465046,23236.05184,South America
China,all_energy_types,2019,151.608886,123.5913596,23128.34,1434512,105.6867325,6.555113166,10608.60039,16122.79298,Asia
Colombia,all_energy_types,2019,1.753107333,5.073328044,690.987,50225.2,34.90493484,2.537106101,75.94596771,13757.77498,South America
Comoros,all_energy_types,2019,0.004549751,3.56E-06,2.384,851.027,5.346188194,1.908452391,0.301926504,2801.321227,Africa
Congo,all_energy_types,2019,0.086927884,0.766415479,17.937,5382.29,16.15072468,4.846288896,4.4339781,3332.596348,Africa
Dem. Rep. Congo,all_energy_types,2019,0.119281032,0.133483094,80.9978,86840.5,1.373564549,1.472645334,2.641757936,932.7191806,Africa
