Country,Energy_type,Year,Energy_consumption,Energy_production,GDP,Population,Energy_intensity_per_capita,Energy_intensity_by_GDP,CO2_emission,GDP per capita,Region
Afghanistan,renewables_n_other,2019,0.024595264,0.00783552,79.4546,38050.9,3.225900605,1.544887538,0,2088.113553,Asia
Albania,renewables_n_other,2019,0.054295978,0.04608657,38.2684,2879.92,38.45531853,2.893986708,0,13288.008,Europe
Algeria,renewables_n_other,2019,0.009724078,0.007452648,509.066,43030.4,61.43337395,5.192848578,0,11830.38038,Africa
American Samoa,renewables_n_other,2019,0,0,,55.312,88.79644373,0,0,0,Oceania
Angola,renewables_n_other,2019,0.082344192,0.082344192,193.826,31849.8,11.69325335,1.921454194,0,6085.626911,Africa
Antigua and Barbuda,renewables_n_other,2019,0.00013356,0.00013356,2.12893,97.0566,107.1540328,4.885085982,0,21934.93281,Central America and Caribbean
Argentina,renewables_n_other,2019,0.346837705,0.418804949,833.501,44832.7,79.0830599,4.253752664,0,18591.363,South America
Armenia,renewables_n_other,2019,0.01784527,0.021113966,35.5628,2957.09,53.02997616,4.409506906,0,12026.2826,Europe
Aruba,renewables_n_other,2019,0.001306324,0.001306324,3.20784,106.298,174.6482986,5.787310105,0,30177.80203,Central America and Caribbean
Australia,renewables_n_other,2019,0.453750757,0.465408709,1226.586,25407.68,251.6753839,5.213240343,0,48276.19051,Oceania
Austria,renewables_n_other,2019,0.528713022,0.50645047,467.708,8885.205,171.2989217,3.254222796,0,52638.96556,Europe
Azerbaijan,renewables_n_other,2019,0.012247444,0.016867292,145.705,10041.2,64.45809952,4.442103352,0,14510.71585,Europe
Bahrain,renewables_n_other,2019,0.000781822,8.24E-05,70.4457,1483.76,547.9764521,11.54173414,0,47477.8266,Europe
Bangladesh,renewables_n_other,2019,0.033828633,0.010674801,798.113,163021,9.91671463,2.02556873,0,4895.76803,Europe
Barbados,renewables_n_other,2019,0.00035616,0.00035616,4.52673,286.99,83.73205705,5.308525813,0,15773.12798,Europe
Belarus,renewables_n_other,2019,0.002611891,0.009801886,178.892,9449.62,102.5579137,5.417421197,0,18931.13162,Europe
Belgium,renewables_n_other,2019,0.183755,0.201463096,557.634,11497.32,234.0656699,4.825975295,0,48501.21594,Europe
Belize,renewables_n_other,2019,0.004670795,0.003851915,2.78824,390.339,31.55251287,4.417186584,0,7143.12431,Europe
Benin,renewables_n_other,2019,0.003795149,7.27E-05,38.0152,11807.2,8.467695257,2.629994619,0,3219.662579,Europe
Bermuda,renewables_n_other,2019,0,0,6.64648,62.5574,176.3117297,1.659465371,0,106246.1036,Europe
Bhutan,renewables_n_other,2019,0.064091372,0.079708608,8.10603,762.867,100.1354627,9.423853602,0,10625.74472,Europe
Bolivia,renewables_n_other,2019,0.033127065,0.035812564,89.7455,11513,27.09395107,3.47574707,0,7795.144619,Europe
Bosnia and Herzegovina,renewables_n_other,2019,0.032507449,0.05620374,47.1135,3304.39,71.81478994,5.036859366,0,14257.85092,Europe
Botswana,renewables_n_other,2019,0.003801132,4.45E-05,36.97997,2302.775,34.10896162,2.123994803,0,16058.87245,Europe
