Country,Energy_type,Year,Energy_consumption,Energy_production,GDP,Population,Energy_intensity_per_capita,Energy_intensity_by_GDP,CO2_emission,GDP per capita,Region
Australia,renewables_n_other,1995,0.159163281,0.169828328,586.086,18029.93,231.9117361,7.134366574,0,32506.28261,Oceania
Canada,renewables_n_other,1995,3.3718985,3.488766152,979.112,29302.32,405.1490198,12.12507479,0,33414.14605,Europe
Germany,renewables_n_other,1995,0.401872641,0.319434824,2996.298,81238.2,181.2467793,4.914118058,0,36882.87037,Africa
Japan,renewables_n_other,1995,1.153018933,1.238254648,4428.85,126349,171.7295582,4.899208135,0,35052.51328,Africa
New Zealand,renewables_n_other,1995,0.306988046,0.30688512,96.608,3655.192,212.7224249,8.048415303,0,26430.34894,Africa
United Kingdom,renewables_n_other,1995,0.141636737,0.07460732,1830.538,58040.88,167.283198,5.304049421,0,31538.7706,Oceania
United States of America,renewables_n_other,1995,6.559368541,6.557308419,11135.92,266179.2,341.6146116,8.165531363,0,41836.17653,Oceania
Australia,renewables_n_other,1996,0.161389643,0.1713855,609.71,18246.45,239.2484772,7.159855303,0,33415.26708,Oceania
Canada,renewables_n_other,1996,3.573469493,3.70224734,994.965,29610.22,412.80418,12.28507795,0,33602.08063,Europe
Germany,renewables_n_other,1996,0.398603602,0.32889472,3021.699,81413.6,183.5390413,4.945090195,0,37115.40824,Africa
Japan,renewables_n_other,1996,1.181496389,1.243383035,4568.53,126629.5,174.5575095,4.838346284,0,36077.92813,Africa
New Zealand,renewables_n_other,1996,0.294233677,0.294010662,100.2147,3712.318,211.6799551,7.841397596,0,26995.18199,Africa
United Kingdom,renewables_n_other,1996,0.136140199,0.06274312,1874.988,58183.43,175.8827772,5.457882,0,32225.4635,Oceania
United States of America,renewables_n_other,1996,7.012394296,7.01088909,11556.02,269310.5,348.7963183,8.12862135,0,42909.65261,Oceania
Australia,renewables_n_other,1997,0.17377146,0.181107129,637.787,18442.8,243.0214929,7.027419482,0,34581.89646,Oceania
Canada,renewables_n_other,1997,3.504931632,3.617362896,1037.55,29905.95,409.0093861,11.78913233,0,34693.76495,Europe
Germany,renewables_n_other,1997,0.369265042,0.291115744,3077.856,81507.67,180.5014528,4.780032871,0,37761.55054,Africa
Japan,renewables_n_other,1997,1.298891121,1.332520749,4614.78,126881.2,177.1756898,4.871362043,0,36370.87291,Africa
New Zealand,renewables_n_other,1997,0.270065373,0.269755969,103.2633,3765.167,208.5227964,7.603118937,0,27425.95481,Africa
United Kingdom,renewables_n_other,1997,0.149788216,0.075443431,1967.034,58334.8,168.3598512,4.99291738,0,33719.73505,Oceania
United States of America,renewables_n_other,1997,7.014122341,7.016810213,12069.94,272559.2,346.7393481,7.829947733,0,44283.73726,Oceania
Australia,renewables_n_other,1998,0.166817118,0.170310294,667.44,18630.45,249.263295,6.957760031,0,35825.22161,Oceania
Canada,renewables_n_other,1998,3.3394579,3.426232788,1077.974,30155.15,393.0564914,10.99532777,0,35747.59204,Europe
Germany,renewables_n_other,1998,0.442348756,0.320267376,3133.356,81475.6,179.8871576,4.677545129,0,38457.59958,Africa
Japan,renewables_n_other,1998,1.251075785,1.322836416,4553.94,127109.5,173.3922845,4.839722654,0,35826.90515,Africa
New Zealand,renewables_n_other,1998,0.279377259,0.279040905,104.0566,3804.173,201.6767694,7.373038529,0,27353.27757,Africa
United Kingdom,renewables_n_other,1998,0.152946763,0.093618657,2029.073,58504.12,168.6081392,4.861466693,0,34682.56595,Oceania
United States of America,renewables_n_other,1998,6.491295605,6.492734918,12610.85,275762.2,344.2103009,7.526866931,0,45730.88697,Oceania
Australia,renewables_n_other,1999,0.179989344,0.181010426,696.46,18836.07,252.8064933,6.837263883,0,36974.80419,Oceania
Canada,renewables_n_other,1999,3.493049457,3.587558928,1133.629,30401.3,410.5122094,11.00898515,0,37288.83304,Europe
Germany,renewables_n_other,1999,0.455691539,0.34011676,3188.161,81417.28,176.5590106,4.508854604,0,39158.28433,Africa
Japan,renewables_n_other,1999,1.25204383,1.277135366,4542.75,127321,176.5223822,4.9474451,0,35679.50299,Africa
New Zealand,renewables_n_other,1999,0.273050336,0.272635386,108.8763,3830.005,206.961412,7.280402096,0,28427.19526,Africa
United Kingdom,renewables_n_other,1999,0.157584449,0.103497346,2089.745,58708.82,168.5865682,4.736232645,0,35595.07754,Oceania
United States of America,renewables_n_other,1999,6.51374665,6.515588277,13215.49,278941.5,346.1102935,7.305406341,0,47377.28162,Oceania
Australia,renewables_n_other,2000,0.175868345,0.177721822,718.054,19057.72,251.7782696,6.682394031,0,37677.85443,Oceania
Canada,renewables_n_other,2000,3.594466983,3.712500877,1192.325,30685.75,408.2310902,10.5062606,0,38855.98364,Europe
Germany,renewables_n_other,2000,0.597728064,0.428459162,3288.035,81447.2,176.7389299,4.3779616,0,40370.14164,Africa
Japan,renewables_n_other,2000,1.275515615,1.279174797,4666.29,127519.7,176.7018343,4.828882238,0,36592.69901,Africa
New Zealand,renewables_n_other,2000,0.284882139,0.284454885,113.273,3850.842,210.4361447,7.154011498,0,29415.12532,Africa
United Kingdom,renewables_n_other,2000,0.157864757,0.106478038,2166.489,58915.95,168.1063719,4.571519451,0,36772.53783,Oceania
United States of America,renewables_n_other,2000,6.104233701,6.101667219,13754.31,282054.2,349.940629,7.176094196,0,48764.77642,Oceania
Australia,renewables_n_other,2001,0.181885645,0.186004333,737.18,19299.15,250.0787349,6.546985834,0,38197.5372,Oceania
Canada,renewables_n_other,2001,3.441396821,3.507814269,1213.666,31020.9,405.457537,10.36336003,0,39124.13889,Europe
Germany,renewables_n_other,2001,0.676255496,0.483961831,3347.813,81487.5,180.1181859,4.384169807,0,41083.76131,Africa
Japan,renewables_n_other,2001,1.248349555,1.270101361,4684.88,127708.8,174.9701508,4.769647887,0,36684.08128,Africa
New Zealand,renewables_n_other,2001,0.258739133,0.258159672,115.9683,3876.323,211.5682434,7.071819179,0,29917.08895,Africa
United Kingdom,renewables_n_other,2001,0.154962252,0.124285324,2211.392,59146.23,168.695616,4.511958849,0,37388.55376,Oceania
United States of America,renewables_n_other,2001,5.15996636,5.161772496,13885.56,284871.2,337.2181314,6.918246995,0,48743.29171,Oceania
Australia,renewables_n_other,2002,0.175628589,0.180184176,767.916,19521.48,254.7998238,6.47736167,0,39336.9765,Oceania
Canada,renewables_n_other,2002,3.560110585,3.63248686,1250.295,31360.05,412.0973807,10.33627621,0,39869.0372,Europe
Germany,renewables_n_other,2002,0.727757046,0.544850738,3342.248,81562.38,177.3520658,4.328002166,0,40977.81355,Africa
Japan,renewables_n_other,2002,1.222112252,1.248684885,4685.12,127886.2,173.3711328,4.732381532,0,36635.07087,Africa
New Zealand,renewables_n_other,2002,0.286394343,0.286044414,121.9363,3924.355,215.5794904,6.938134509,0,31071.6793,Africa
United Kingdom,renewables_n_other,2002,0.16819848,0.141862485,2258.346,59401.02,165.7187536,4.358881676,0,38018.64008,Oceania
United States of America,renewables_n_other,2002,5.726116034,5.730901504,14121.05,287542.8,339.2030365,6.907091957,0,49109.38476,Oceania
Australia,renewables_n_other,2003,0.18058361,0.187403625,791.081,19744.05,253.9674056,6.338598898,0,40066.80494,Oceania
Canada,renewables_n_other,2003,3.466624007,3.48832348,1272.819,31644.02,419.5819956,10.43138189,0,40223.05004,Europe
Germany,renewables_n_other,2003,0.693763428,0.585300016,3318.614,81567.95,177.7802453,4.369646533,0,40685.26915,Africa
Japan,renewables_n_other,2003,1.38974611,1.3956705,4758.91,128049,174.3620355,4.691596245,0,37164.75724,Africa
New Zealand,renewables_n_other,2003,0.27114196,0.27100575,127.3435,3998.65,202.8103497,6.368347067,0,31846.62324,Africa
United Kingdom,renewables_n_other,2003,0.168312029,0.13605975,2326.771,59678.73,165.8918684,4.254916372,0,38988.27941,Oceania
United States of America,renewables_n_other,2003,5.944159929,5.942466558,14515.9,290065.2,337.2854558,6.73983516,0,50043.57641,Oceania
Australia,renewables_n_other,2004,0.177790781,0.18549632,823.592,19960.65,259.5659065,6.290862722,0,41260.78059,Oceania
Canada,renewables_n_other,2004,3.445782258,3.483222152,1312.113,31940.68,424.9859419,10.34540468,0,41079.68271,Europe
Germany,renewables_n_other,2004,0.76921246,0.695036618,3341.656,81493.67,178.6382871,4.356489602,0,41005.09892,Africa
Japan,renewables_n_other,2004,1.404043065,1.377470432,4861.39,128192.8,176.4819421,4.653754235,0,37922.48863,Africa
New Zealand,renewables_n_other,2004,0.304483597,0.304125824,133.1102,4067.165,205.1350519,6.267875063,0,32728.00587,Africa
United Kingdom,renewables_n_other,2004,0.215226506,0.162890208,2381.581,60017.27,165.6139495,4.173570885,0,39681.59498,Oceania
United States of America,renewables_n_other,2004,6.074726225,6.062670661,15075.12,292731.8,341.6177132,6.633603453,0,51498.06068,Oceania
Australia,renewables_n_other,2005,0.194030441,0.200000248,848.26,20206.75,261.1744616,6.221544162,0,41979.04166,Oceania
Canada,renewables_n_other,2005,3.611112774,3.696303083,1354.155,32243.75,425.6672584,10.13555218,0,41997.44136,Europe
Germany,renewables_n_other,2005,0.77038493,0.74149402,3371.653,81382.7,175.8874089,4.245452374,0,41429.60359,Africa
Japan,renewables_n_other,2005,1.273662993,1.24967502,4950.11,128313.8,177.3916608,4.598240865,0,38578.15761,Africa
New Zealand,renewables_n_other,2005,0.274698086,0.274462551,136.4002,4119.125,197.2698636,5.957316975,0,33113.87734,Africa
United Kingdom,renewables_n_other,2005,0.246230967,0.194762643,2443.342,60461.68,163.9104301,4.0560429,0,40411.4143,Oceania
United States of America,renewables_n_other,2005,6.23355613,6.220812094,15600.22,295433.5,338.8294698,6.416677211,0,52804.50592,Oceania
Australia,renewables_n_other,2006,0.207370914,0.215484415,870.371,20495.62,260.8759763,6.143144564,0,42466.19522,Oceania
Canada,renewables_n_other,2006,3.516344101,3.583641692,1389.827,32571.18,424.2018906,9.941349633,0,42670.45284,Europe
Germany,renewables_n_other,2006,0.844427337,0.875998383,3506.676,81239.75,179.4395004,4.157104949,0,43164.5346,Africa
Japan,renewables_n_other,2006,1.356944468,1.361767742,5016.69,128410.5,178.5363557,4.569934101,0,39067.59961,Africa
New Zealand,renewables_n_other,2006,0.277513977,0.277285645,140.0431,4166.592,196.1019299,5.834466191,0,33610.94631,Africa
United Kingdom,renewables_n_other,2006,0.253433228,0.212819329,2506.48,60893.38,161.0420062,3.912415851,0,41161.78146,Oceania
United States of America,renewables_n_other,2006,6.636868401,6.586243412,16034.36,298287.8,333.2068578,6.198659664,0,53754.66244,Oceania
Australia,renewables_n_other,2007,0.19099131,0.209957591,908.353,20877.3,263.6497376,6.059642745,0,43509.12235,Oceania
Canada,renewables_n_other,2007,3.603380871,3.732007426,1418.622,32889,418.6103913,9.704965212,0,43133.63131,Europe
Germany,renewables_n_other,2007,1.020094469,1.070361202,3615.116,81058.12,172.9514877,3.877917732,0,44599.06053,Africa
Japan,renewables_n_other,2007,1.256521953,1.238840901,5090.8,128481.2,177.0804556,4.469142263,0,39622.91759,Africa
New Zealand,renewables_n_other,2007,0.282041098,0.28179284,145.5205,4211.695,194.7044665,5.635191112,0,34551.52854,Africa
United Kingdom,renewables_n_other,2007,0.25389688,0.22903813,2563.365,61382.93,154.0972182,3.690047557,0,41760.22552,Oceania
United States of America,renewables_n_other,2007,6.523110045,6.510366832,16356.75,301157,335.0191533,6.168301353,0,54313.03274,Oceania
Australia,renewables_n_other,2008,0.162285799,0.198222924,931.624,21303.9,258.4402301,5.909878683,0,43730.20902,Oceania
Canada,renewables_n_other,2008,3.696623422,3.81398515,1432.869,33247.1,407.1999012,9.448327681,0,43097.5634,Europe
Germany,renewables_n_other,2008,1.044594468,1.104946056,3639.832,80857.4,176.7941855,3.927411533,0,45015.44695,Africa
Japan,renewables_n_other,2008,1.210608758,1.200751911,5027.35,128525.2,168.9759465,4.319903592,0,39115.67537,Africa
New Zealand,renewables_n_other,2008,0.276099401,0.275944454,145.0052,4248.375,194.2291745,5.690543299,0,34131.92103,Africa
United Kingdom,renewables_n_other,2008,0.285775444,0.24474852,2557.222,61874.38,151.1647363,3.657572294,0,41329.25453,Oceania
United States of America,renewables_n_other,2008,7.174688673,7.191546486,16376.74,304010.5,324.8365144,6.030120229,0,53868.99466,Oceania
Australia,renewables_n_other,2009,0.171066027,0.187632854,949.45,21730.75,258.4409471,5.915125189,0,43691.54309,Oceania
Canada,renewables_n_other,2009,3.611192299,3.756584472,1390.944,33628.9,395.464813,9.561166121,0,41361.56699,Europe
Germany,renewables_n_other,2009,1.033285805,1.114958516,3434.444,80586.45,166.863582,3.915318959,0,42618.13245,Africa
Japan,renewables_n_other,2009,1.18232421,1.198235255,4741.98,128541.2,161.5651917,4.379559514,0,36890.74009,Africa
New Zealand,renewables_n_other,2009,0.302419703,0.302439462,145.5062,4288.242,191.4038461,5.640900606,0,33931.43391,Africa
United Kingdom,renewables_n_other,2009,0.273664681,0.272305594,2448.608,62327.27,141.4875859,3.601448239,0,39286.30277,Oceania
United States of America,renewables_n_other,2009,7.608323793,7.624931899,15950.96,306705.5,306.2945256,5.889439609,0,52007.41428,Oceania
Australia,renewables_n_other,2010,0.197372876,0.22091932,972.586,22065.65,256.0911807,5.810096343,0,44076.92499,Oceania
Canada,renewables_n_other,2010,3.52075813,3.636047264,1433.922,34004.9,405.5704261,9.617944201,0,42168.0993,Europe
Germany,renewables_n_other,2010,1.1721998,1.237420492,3573.332,80319.83,176.4045905,3.965147016,0,44488.78938,Africa
Japan,renewables_n_other,2010,1.400845666,1.39427326,4936.47,128527.5,170.2220802,4.431956117,0,38407.88936,Africa
New Zealand,renewables_n_other,2010,0.315409881,0.315300751,148.5005,4335.42,194.6612075,5.68306566,0,34252.85209,Africa
United Kingdom,renewables_n_other,2010,0.267020566,0.281252598,2500.799,62827.23,146.2267816,3.673635363,0,39804.381,Oceania
United States of America,renewables_n_other,2010,8.266858805,8.313761771,16383.04,309274.2,315.2962192,5.952069089,0,52972.54022,Oceania
Australia,renewables_n_other,2011,0.235412353,0.265439468,1000.094,22387.15,256.2321454,5.735768313,0,44672.68053,Oceania
Canada,renewables_n_other,2011,3.725368127,3.875623244,1479.036,34339.32,412.0689482,9.567155548,0,43071.20817,Europe
Germany,renewables_n_other,2011,1.372332677,1.414644685,3715.877,80288.2,169.029737,3.652191215,0,46281.73256,Africa
Japan,renewables_n_other,2011,1.413447729,1.423041068,4938.21,128483.5,165.0715406,4.29486986,0,38434.58499,Africa
New Zealand,renewables_n_other,2011,0.323509101,0.323320557,151.0972,4374.72,192.4266078,5.571331101,0,34538.71333,Africa
United Kingdom,renewables_n_other,2011,0.367671803,0.369045591,2537.248,63330.95,136.0506289,3.395890185,0,40063.31817,Oceania
