Country,Energy_type,Year,Energy_consumption,Energy_production,GDP,Population,Energy_intensity_per_capita,Energy_intensity_by_GDP,CO2_emission
World,all_energy_types,2018,597.7365823,600.7287295,124161.994,7632247.012,78.31724804,4.814167064,35002.90078
Afghanistan,all_energy_types,2018,0.143273119,0.063175856,76.3784,37173.5,3.854173523,1.875832951,7.886124149
Albania,all_energy_types,2018,0.142185046,0.115529486,37.4765,2882.05,49.33469079,3.793978776,4.483725681
Algeria,all_energy_types,2018,2.515773173,6.688552188,505.026,42209.8,59.60163689,4.981472583,137.6783481
American Samoa,all_energy_types,2018,0.004911509,0,0.636,55.465,88.55149907,7.722498264,0.35542766
Angola,all_energy_types,2018,0.337750994,3.792675339,195.044,30833.3,10.95409815,1.731665647,19.15066914
Antarctica,all_energy_types,2018,0.000186509,0,,,0,0,0.013782287
Antigua and Barbuda,all_energy_types,2018,0.010355353,0.000119017,2.0599,96.1852,107.6605694,5.027114618,0.7159054
Argentina,all_energy_types,2018,3.577879662,3.317044243,850.736,44412.27,80.56061224,4.205628611,195.1401068
Armenia,all_energy_types,2018,0.146478106,0.043337275,33.0509,2950.94,49.63777836,4.431894613,5.764256766
Aruba,all_energy_types,2018,0.017905592,0.001335666,3.23047,105.829,169.1936243,5.542720428,1.251577
Australia,all_energy_types,2018,6.161211867,17.24050742,1202.747,25027.28,246.1798433,5.122616699,418.1806114
Austria,all_energy_types,2018,1.462067685,0.525800585,460.948,8845.085,165.2971888,3.171871198,66.33364458
Azerbaijan,all_energy_types,2018,0.608430022,2.378237826,142.091,9943.27,61.1901338,4.281974381,33.5050862
Bahrain,all_energy_types,2018,0.72214345,1.034474616,68.9688,1503.09,480.4392617,10.47058162,38.93443363
Bangladesh,all_energy_types,2018,1.550365641,1.140752599,737.95,161353,9.608533099,2.100908789,84.26864106
Barbados,all_energy_types,2018,0.023989861,0.003032586,4.53109,286.61,83.70210589,5.294501007,1.593928257
Belarus,all_energy_types,2018,0.997170174,0.082335407,176.402,9449.93,105.5214349,5.65282805,52.91482469
Belgium,all_energy_types,2018,2.680458768,0.465740057,545.898,11434.15,234.4257132,4.91018243,123.9253847
Belize,all_energy_types,2018,0.012445157,0.00706521,2.74003,383.057,32.48904751,4.541978399,0.676589459
Benin,all_energy_types,2018,0.111507242,4.73E-05,35.5729,11491.2,9.703707328,3.134612068,6.980116384
Bermuda,all_energy_types,2018,0.011036412,0,6.49022,62.8418,175.6221496,1.700468089,0.775416033
Bhutan,all_energy_types,2018,0.060175303,0.065490074,7.68603,754.121,79.79528943,7.829178843,0.874226128
Bolivia,all_energy_types,2018,0.319735719,0.77818384,87.7992,11352.9,28.16335197,3.641670067,18.09213779
